commentText,Labels
"I'm watching it in the middle of night.
Mcdonalds is the only option now i guess",6
kesar is necessary and food colour,7
Ingredients  uses are high as compare to Briyani  made.. Not good,6
Mast h mam  I will try today,6
nice one!,3
V nice,3
"maine aaj try ki bohot tasty bani thi 
thanks alot",5
maine try kiya ye last Friday Ko n it's was delicious n awsm 😘😘😘,5
Kabita ji aapne khosboo k liye kuch use nahi kiya?,7
Kabita ji I want to try it. Please aap mujhe batayenge chawal long aur fluffy kaise banega?  Main jitna bhi high quality Ka basmati rice Liya magar wo restaurant jaisa long and fluffy nahi banta ha. Please reply.,7
Thankyou  kabita's  kitchen 😊☺😊😊☺😊☺😊☺😊☺,1
"1kg chicken ke liye , aur kitni quantity  masale add Karna padega ??  aur rice k bhi kitni quantity badani padegi ?????",7
Very easy process mam thanks,5
Owsome,3
very nice biryani,2
Maza aagaya kasam se sanjita,6
I will surelly try this but after shraavan,6
"Mam,boneless chicken use karna ho to kitni der pakana hai kyun ki who to bahut jaldi gal Basra hai",7
my fridge is vegetarian then what I do,6
Hello Kabita mam which ghee? Vanaspati or Pure Ghee. Please reply quickly.,7
I love kabita aunty kitchen,6
muze aisi biwi chahiye 😊 jo sirf khana achcha banane wali ho 😊 baki me samhal lunga  😊😊💐💐👌👍 ,6
mam please 1 kg biryani ke liye video banao,6
mam chahwal ko bhogona he adha ghntta ya sirf ubalna he,7
hai,6
it was helpful thanks for the recipe cooked it today and it was yummi,5
"very nice mam, thank u",5
u can make khichda plz for me,6
very nice,3
Mam.. Bas 1 hr marinate krke nd fir bas dum pe chadha k chicken pakk jayega??? Kachha reh gya to??,7
"ma""am vo jo chicken k badhey pieces h vo jalte ni h, proper cook ho jate h",6
mam your chicken biryani will taste of coriander biryani. I will not take risk. your RECIPE is not Hydrabadi.,6
Kabita ji kya is me dahi dalna zrori he,7
javitri matlab,7
Ohhhhhhhhhhhhhh Nice,3
aap cooking bahut acchi karti hai aap apna naam bataye kyuki mujhe aapse biryi sikni hai,4
Bahut Bariki Se Aapne Batya Hai Mam👍👍👍,4
Hi Kabita.Today i tried this chicken biryani recipie of your's.Its the first time in my life that i cooked your recipie and i have to tell you that it was absolutely fantastic.I shocjed myself.Wish you could taste it.Thank You for this wonderful recipie.Tc and gd bless :),5
osm,3
Thanks a lot for the recipe. Never knew that the first try would be so successful ❤😍,1
"My first Briyani... and trust me it was more than awesome. A big thanks to ""Kabita's Kitchen"".",5
i jst cooked this biryani....trust me guys...its really good...jst follow the process step by step..as it is told..and u'll end up having super tasty lip smacking biryani...kabita didi..ur the best!!! thank u so much,5
"helloo mam.
again i tried to cook biriyani .. but agai my biriyani burn from bottom ... can i put potato  slice in bottom of the handi to protect from burning",7
i will do it tommorow itself,6
purnboli,6
superb,3
like to banta h yar,6
your presentation style is awesome..speed is apt...no nonsense talks..that's best part.,4
I also make like this but u can use cooker also for steam,7
wow||nice,3
nice resipe,2
mem ismay kevda jal dal skte h kya,7
pressure cooker mein isi process mein kar sakte hai kya..matlab whistle nikalke waha seal kare toh hoga kya,7
lajawb testy,2
wow...nice recipe.. thanks,5
good,3
yummy,2
thnkx mam....,1
thankew di,1
Can we add capsicum and carrots in chiken,7
hello mam like Biryani   &one problems chicken pura pakta hay kay,7
Tried this recipe today n let me tell u that it came out very tasty wt the measurement u suggested...my daughter n my hubby liked it...thx kabita & keep up the good work,5
great,4
madam maine bhut sare recipe try kare h ....or wo bhut hi tasty bne hai..thank you mam for your guidance..😄😄😄,5
we r trying to make n thnx for recipe,1
tamater ka use nhi kiya,6
Good,3
we don't like it,6
yummi.,2
chicken ko paheley pakana nehi hay??,7
i love your recipes... its delicious... :),2
kabita aap ne mujhey reply nhi Kia plz batayen na one kg k liye ingredients ki quantity,7
shahi masala yaha pakistan mein nhi ha so which we should use ?,7
and aapne 600 gram chiken liya agr ham 1 kg chikn lenge to quantity double krlnge na sare species ki,7
plz kashmiri hedrabadi biryani recipe btao,6
Kavita plz one kg rice and one kg chicken k hisaab se sb ingredients ki quantity bata dein plz zarur batana reply mein plz,7
bhut taff hai,6
nyc....,3
nice,3
😱😱 super recipe 😋😋,2
i will try. thank you,1
Kavita ji I must try thank you,1
chicken ko kasana chahiye tha,6
thanx Mam for this  recipie.....,1
so nice,3
mam chicken katch nh lage GA kyuki chawal toh pahle se adha gal chuka hai,6
badi mushkil h,6
TASTY  biryani,2
so tasty,2
hello mam....agr one and half kg rice lungi...tb sara ingredient kitna lena h.....,7
y chicken kachha rahega ya fry hoga y to btaya ni aapne,6
dear kabita ur all receipe is looking so delicious,4
yummm,2
pressure cooker nhi tha aata kharab kyo kiya,6
mashallah ...biwi ne dek ke banaya  super test ..✔,6
where can i get shahi biryani masala,7
"u r superb mam,,,the way u teach us. nobody can do that,,hats off,,,and hugs to ur son.,,,regard deepanker",4
aapne oil dalneka bhul gaye ho,6
mam i do not have pan at home... can u suggest any alternate utensil to cook dis biryani. plz revert,7
Thanks a lot dear sister...awsum texture of yummy biryani..will try soon,5
hi kavita  I have question can I use aluminium  foil instead of dough for sealing biryani pot,7
very nice,3
pudina dalna jaruri hain kya AGR nahi dala to kuch test krab haga kya,7
You forgot to add tomato this is not real biryani,6
"Hello mam,  ramazan special harees bana na sikhaiye na plz",6
kabita ji rocks.,4
so nice rcpy kabita baa,2
i will try this for sure. Thank you Kabita,1
hi,6
ma'am check masala karny ke bad dam karny sy pehly ap ny nechy oil dala ta? jab os k oper chawal dala?,7
any gosht biryani video???,7
tasty,2
Hi Kabita can you tell me this recipe serves how many persons?? Thanks for the awesome recipes 😘 loads of love from Singapore,5
thank you for doing this it's soo delicious,5
Superb.,3
i love the way of ur cooking food,4
nice,3
g bahot acchhi hai biryani shaandar main bhi kabhi banata hoon lekin thoda difrent andaz mein lekin yeh to bahot khob hai abh iss tarha he banau ga,6
"Hi Kabita! thanks for the recipe, wanted to know whether 1tsp salt will b enough for rice? looking forward to trying it.",5
is me tomato nahi dale mam,7
nice,3
Can chicken be done in this short time 😕,7
awsm,3
kabita ji bina food colore ke biriani ka recipie banaie ak.. coz its hermful for health..plz,7
what if not have kitchen,6
nice,3
"ma'am 
hame kaisyy sure ho ki heyy chicken achy see cook ho gaya hai?☺",7
thank you didi,1
Great video!👍👍,3
cake,6
"madam ji 
isko hum pressure cooker me bna sakte hain ????",7
"your cooking system is very systematic 
and your kitchen is too so clean and beautiful
",4
"heyy dear thanks a lot for sharing this recipe , it really help me out vry much! i'll will really try it.😊",1
"Kya baat hay. Agar aur mirchi dalna hay to kitna dalna, aur kuch alag karna kya?",7
very nice video :),3
"Hello Kabita, I am bad cook i tried your biryani recipe it was great because of your detailed explanation your awesome",4
biryani masala kesa banate hai ghar pe plss answr,7
ma'am chicken achhe se pk to jata h Na..,7
plz make fried rice,6
thanks for biryni,1
ur way of cooking is very easy and nice didi,4
mem apki har recipe bhout hi super hote h.. me apki har recipe tray krte hu.......,4
I really love it..😘😋...Thanks..🙏,1
madam ye aata barbaad ho gaya uska kya karna hi ?,7
very nice recipe,2
nice I like it 😘😘,3
hum ye biryani cooker me banayenge to chalega kya,7
hello mam,6
niche se chicken jalega to nahi na mam,7
thank you for ur reply so kind of you I really love your cooking and way of explain of cooking my mom too watch you on YouTube thanks,5
superb😘😘😘,3
wow,3
what is shahi Masala..can u plz tell me how to prepare it,7
u alwaz rock mam,4
Kabita didi I love Ur cooking style,4
awesome,3
"I have a Haandi to cook. How will I cook it on the Tawa with a round handi?

Any alternative of cooking it on not direct heat with Haandi?",7
yestarday i made it.....i burnt some of my biryani and chicken pieces :(,6
"kabita di.. i tried it... but meri biryani niche se jal gai ti halka sa... kya reason ho skata hai...
but chicken ka taste bahut hi acha tha...bahut hi achcha... everyone loved it.",7
tamato rice show me,6
nice cooking,4
can you please show my family how to make dum ka murq,6
kabita can you catering service?you are too good cheff I love your cooking producture thank you for your time,5
kabita GI tussi great cheff hoo,4
Pan should be nonstick????,7
please  show   how to make   chicken   cutlets,6
Nice,3
nice,3
very lovely voice and cooking as well,4
thank u mam,1
testi,2
khane me bahot testi banti hai mam lekin  calarful nahi dikhati,2
"New sub.sis like all you're video's,i'am not indian but like Indian or Pakistani foods!",4
thank u so much mam,1
Nice! very well explained :) Thanks!,5
kya kekar biryani h,6
"Maine ise last tuesday banaya tha and it was very tasty😙
Yummmmmmmmmmmmmmmm
keep it up",2
superrrr biryani kabita ji,2
"madam biryani acchi bnayi h tumne
ab ise hmare ghar dene aa jao",6
good,3
cooker me banana ho to?,7
ur way of cooking is unique and different,4
aap ki har recipe bhot hi achi ho ti h,4
Saffron kya sirf colour ke liye hi hain??ya fir taste ke liye bhi??pls reply,7
😋😋kabhi Ghar bulake khilao kabita ji....,6
"I tried this recipe and it is really superb☺ I have a doubt
is it necessary to add saffron",5
biryani bnani nh ati itni ajib si banai he shakal se hi baqwas lag rh he😝,6
thanks dear so nice of you my sister,1
nice,3
where is oil?,7
awesome fabulous,3
kabita ur cooking skills r too good I want to cook it on Friday so my husband is very found of biryani,4
So sweet Kabita ji.... I am vegetarian..  Bt Apki Ye biryani dekhkar Aisa lg Raha he ki nonveg khana shuru kr lu.... Weldone Kabita ji....... Vry Nice 😊😊,4
thank you aunty,1
realy ur a magician I always follow ur recipe,4
so  sweet cooking mam,4
ghee ki jaga oil use krskhty hn?,7
I love chicken biryani. can you please help me to know the ingredients for 1.5 kg of biryani. as Sunday is party day.,7
gee na mile toh kya dale,7
Thank you Kabita I follow your recipes. I tried this recipe my husband really loved the biryani 😀,1
kia hum is m  ghee ki jaga oil b use kr skhty hain,7
Ma'am i made this dish on mother's day and it turned out to be the best... gharme sab ekdum khush huye... mummy daddy bole ekdum hotel me khaya jaisa lag raha h.. mummy k face pe wo smile dekh ke mujhe bhot khushi hua ma'am and dis happened all because of you.. tysm ma'am thanks alot😍😍😍😍😘😘😘,1
looking tasty,2
yammeee😃  and  tasty  beryani👌👌,2
what is namak how to prepare it,7
this receipeas is really out standing it is very very tasty 😉😉😉😉😉😙😙😙😘😘😍😍💋💋👄👄👄💋💋👄👄👍👍👍👍👍👍👍👍👌👌✊✌✌,2
mmmmmmmm nice,3
won't the biryani burn without oil in the chicken marinate??,7
Nice biryani sister,2
"awesome didi
thanks you very much for this video",5
bartan yehi use hoga ya koi b,7
is food color and saffron compulsory,7
lovee it,6
@kabita's kitchen plzz mujhee btaiyee yee biryaani masala kyaa hota h,7
ye hai Asli Hyderabadi biriyani,6
Mam can we cook it on an induction as well with the same time u have mentioned???????,7
Tasty recipe,2
thankyou so much for your wonderful recipe ... being praised for cooking biryani at home... all praises to you..n waiting for many more good  recipes ...😘😘😘,5
kabita ji...agar biryani masala nahi ho to kya karen..🤔🤔🤔,7
pliz tell me how to make this saffron,7
"kabita mam kya hm isko poora ready kr k baad me kuch hours baad gas pe banane rkh skte?? 
plsss tell me now...",7
krela jus,6
joradar,6
Mam aap ka Cook krne ka trika mujhe Bhut psnd aaya.  Main ye dish jarure try krunge.,4
waw biryani bahut hi yammmmmi😋😋😋,2
i watch kabita's kitchen video as i cook.,6
mam kya mai sookhi dhaniyan powder daal sakti hon...mai use already mix kr liya hai...but agr mujhe jaankari ho jaaye to aage se khayal rkhungi😌,7
love u mam koi itni jaldi reply😙😙Allah paak aapko khush our healthy rkhen,4
ok aap ka bahut bahut shukriya,1
mam just reply plz.....kya ham khade masalon ko pees kr nhi daalsakte...our agr ham sookhi dhaniyan pees ke daal den to uska test alag to nhi hoga,7
yamiiiiii,2
yammi recipe,2
I made it today and it turned out really well. everyone at home loved it... thank you kabita... U make it look so easy... Do keep posting more recipes... Looking forward to your mouthwatering recipes☺,5
can I use curry pata??,7
pudina dalna jruri he khy,7
I m making biryani with your recipe ,6
mere mom ne sirf food colour hi dala tha,6
ye biryani meri mom ne banai thi bhuhut delicious bane thi,2
This came out awesome. i have tried to cook biryani so many times but it never tasted good but watched your video and prepared as you told and it was awesome. Thanks a lot :),5
"the meat has to be cooked initially.
i tried ur recipe but d masala nd chicken was not cooked properly......",6
"Mam can we cook this in rice cooker,,,,and do we have to add oil during myelinating,,,plz let me know,,,I wanna try this",7
Can we add potatoes?,7
Hey kabita thanks for recipe.. but when making my chicken was burnt. Why??,7
nice mam..god bless you ...love it,3
"Just cooked the same , super taste .",2
"U r mind blowing
U give very easy simple though tasty ideas to spice up regular food. I really love ur every recipe and I admire u a lot. Thanks for ur gr8 channel. 
I always try ur recipe and believe me whatever I made all dishes are now my hit dishes and my family members and guests always demand me to cook at home instead going out and keep on complementing my food referencing finger licking. 
Thanks a lot Mam
All credit goes to u😘",5
yummiiii....,2
I ll try it soon ..just loved it ...i m a big fan of your cooking al because u used easily available ingredients...,4
nice,3
va didi yumi,2
dahi use karna jaruri hai kiya ....uske jagah par kuch use nh kar sakte,7
i tried this recipe....it was beyond expectation...aap awesome ho yaar....👍👍👍mere husband mere fan ho gaye ...main apki...😚😚😚👍👍👌👌,4
Hi.  I. don't no. Hindi.  but. I. can. undstand. I. am. try. all Ur. repices. it's very yummy my. family members like your items. tq. to. beeing. this,5
kya bina dahi k bana sakte h ?,7
aap veg. ho yah non veg,6
very nice n simple receipe.,2
is ma to chicken sai nai na ho gaaa,6
WOW... NICE...,3
When shld I add oil??,7
keshar is for color only or for taste also?,7
u always best,4
maaam u r awesome...nd aapki cooking recipy mind blowing👌👍😘😋,4
Wow very nice recipe,2
Mam is it necessary to cook biriyani in non stick pan only or normal kadai will do?,7
nice,3
I love u kabita di  aapse maine bahot dishes bnana sikha h,4
what is javitri,7
"Kabita Di
Biryani me dahi daalna zaruri h???
Aur agar kesar ni h toh sirf food colour daalne se chalega naa???",7
kabita ji aap bahut acha khana banati hai,4
humm very nice I love it,3
wow,3
can we use pressure cooker on place of pan??,7
good recipe,2
very tough....,6
chicken I'll cook??  When we dum cook the chicken,7
mam u r great,4
Nice,3
very very nice recipe kabita...,2
very nice biryani,2
chiken gala he nai,6
Aap mind blowing ho ji.... Really it looks vryyyy easy... Nd vry tasty..,5
This recipe is delicious !,2
Kavita ji koi Gulab Jamun ki video banaye,6
biryanniii.....................thank u maam,1
Ur cooking style is very good,4
mam did u have any recipe of jack fruit dry sabji,6
thank you mam😊,1
mam agar chiken na khate ho to chiken ki jagah soyabin dal ke ese hi biryani bana sakate hai kya,7
DID you put salt ;),7
i like the way u cooked chicken..ur cooking style will help me to cook much better...,4
mam should we follow the same timing for dum even if we marinated the chicken overnight.? plz let me know if in this case the timing should reduce,7
Kabita Aunti Kya Ghee ki Jagah butter use kr sakte hai,7
This Biriyani serves how many people ?,7
Hii. Kabita... Rice ko soak karna nai hai..?? Recipe bohot achhi hai.. Wit timings of cooking.. Love ur vedios.  Thanku,5
delicious# chicken dum biryani#😜,2
"Simple and nice recipe Mam, great.",5
why you dont wearing the gloves......to make the foods....,6
yummy.....,2
What do you do with the dough afterwards?,7
good job,4
nice,3
superb kabita ma'am🙌✌👍👍👌,3
"Very delicious recipe :)
we tried it today nd it was just awsmm...",2
yummy,2
I just love the Biryani... thank you didi,1
Thanks for this great Recipe.....,5
Didi u just make my day with the simple steps to prepare biryani,4
Sabun se chikan ko dhona hai,6
"wooow ........................
so yummmy n teasy i love it",5
yes,6
very good very nice yummmmy,5
great recipes!  this briyani recipe is awesome!,2
ye chicken isme kacha too nae rehjaega,7
very nice recipe,2
good and easy recipe. thnkuuu diii,5
nice,3
owssome recipe.....👌👌👌👌,2
thank you reaply karne ke liye love you,1
nice kabita ji,3
Which biryani masala do you use can you show me packet,7
shahi biryani masal koun sa plzzz batao wo milta h ke,7
hiii.....I love ur cooking style kabita aunty .....,4
"Hi Kabita.
Thx for biryani recipes :-)",1
Chikan me dhi dala tha tab chikan garm tha kya,7
"it's too simple way ...
thanks",5
Omg if I cook this I think it will take more then four hours,6
taste,2
so nice recipe,2
awesome,3
Yummmmmy😋....,2
very nice chicken dam biryani,2
I will definitely try it ...,6
its wonderful.. m gonna try this on weekend.. thank you kabita mam for sharing this recipes.,1
Okay thank u soo much didi,1
Koi nahi mam kya mai apse baat kar sakti hu please mam mujhe aap bht zyada pasand hai please🙇🙇🙇🙇🙇🙇🙏🙏🙏🙏,6
Ma'am can you please tell us how to make Chicken korma in white gravy recipe..,6
Mam mera naam Afifa Naaz hai or ye mere bhai ke name se id bani hui hai,6
"I have all the ingredients, I will try this tomorrow :)",6
"How to prepare  Shahi biryani Masala powder  
Mam",7
nice,3
Thank you,1
first time I am cooking biriyani  of chicken... sooo nervous....,6
mutton  currys,6
mutton biriyani,6
mem aap bhut acha Khan bante ho ,4
if we don't have shah biryani masala so what to do?,7
Tried this Recipe and my family loved it. Thanks a lot Kabita g !,1
Nice,3
most wonderful and welcome,6
so tasty and so yummy 😋,2
superb,3
nice,3
very nice biriyani,2
waw osm 👌👌👌👌,3
Very tasty Birany ...I have already cooked it ...,2
but kabita didi meri paas kesar nhi he...kesar k bina kya yah hoga?,7
shazeen mulla,6
can we add crushed green chillies instead of peaces.and also can we marinate chicken overnight.?,7
i have the same spoon you used to chech the rice,6
di merey hasband ko ye bahot pasand aayi di totally isey 30 minit cook karna hai kya plz reply mai abhi bana rahi hu jaldi reply do,7
arfat ok ali ok,6
just lovet it.thanks ma'am 😊,1
thanks sis,1
ok and thank you👍👍,1
nice video,3
Ma'am your recipes are incredible! I've started liking cooking. 😊,4
aapki sari recipe mujhe bhut achi lgti h,4
mam 3logo k lia bana ne k lia kitna amount lna h sabka can u plz tel,7
kabita ji mai aapke fan hun,4
awsome recipe👌👍. but why u dont fry the chicken after marinating can i fry it or not ????,5
huuuum nice,3
nice recipe,2
humne isse try keya ap jassa to nahi bana but tast accha tha thank u 😘,1
super,3
verynice,3
thanku,1
v nice,3
nice,3
nice,3
Beryani me dhania patta koun dalta hai???,7
Thank you very much for this recipe. We tried this and result was awesome. Once again thank you very much!!!,1
Tell me mam how to make shahi Garam Masala,7
But colour is not good mam use Kesar don't don't use any food colour,6
kya isme aloo  aur egg use nehi hota? actually i dont know,7
wow..................,3
it looks yummy....i will try this recipe,2
too good explanation dear.,4
Thankyou for explaining in detail ! makes it very easy for beginners !,5
Mam.. abhi abhi maine ye biryani try kiya. Bohot zabardast huwi. Aur sab ko bohot pasand aayi. I am ur big fan.,4
awesome recipe,2
I like ur all recipes�,4
Nice☺,3
bina oil ka banega kya,7
tel nhi rkheynge,7
I like it dum biryani,6
Nice one ......,3
Chawal ko bhiga ke nahi rakhana hai na,7
tough h,6
aapki aavaj bahot atchi hai😊,4
"omg!!!
..i am impressed.Biryani is my fav dish.i will surely try ur recipes.I love ur cooking style.Very clear...no space for any confusion.",4
Can I use a non stick sauce pan with glass lid? Should I seal the hole on the lid? Won't the lid just crack or something due to excess heat and pressure?,7
"Hi mam, I would like to ask you one doubt. How much time(approximate) the rice will take to cook 60% on medium flame and also pls provide the amount of salt to be added in marination
Best Regards",7
Nice biryaani Love u 😘😘😘,2
i have to try but i am worried i had tried a different recipe of biryani but the chicken didn't cooked and the biryani comes worst.. i have to try your recipe kavita ji but will the chicken cook inside??? please answer me?,7
thanks a lot for the recipe.,1
i just love all your recipe,4
"Hi mam, this Sunday am gng 2 try dis recipe, I.have some questions. can we do this in pressure cooker, if yes pls tell me how. Is 1 tsp salt okay for marination. ",7
tez patta kaha h kavita ji,7
apne oil use hi nahi kiye,7
Mam please invite me l am a big fan of you,4
nice recipe sabita ji,2
Perfect biryani recipes.....,2
AMAZING! Maine ye video dekhkar dum biryani banana sikha hai,3
is this necessary to add oil whn we keep chicken and is it necessary to make it in non stick??,7
apne kitna aata barbad kardia isey acha koi kapra leleti ap,6
bhot achhe se batee ho aap ..mai bhot kuch apnse sikha hai..,4
kya chikken at first boil nehin hoga???,7
"ma'am, dont we need oil ??kindly reply.",7
can we take boneless chicken,7
yummy,2
mam aap hydrabadi briyani ki bhi recipe daliye please,6
Sare process same rahega khali pan ke jaga pressure cooker use hoga.....,7
Par kyun nhi ......ban payega.....,6
Agar pan ke jaga pressure cooker use kiya jae toh kya ye kaam karega.........,7
veri nice,3
Hi kavita i'am from Hyderabad first time I have seen a video where actual procedure has been explained superb. bang on method  of dum biryani.,4
Great cooking.,4
i have a doubt like why does dis chicken taste sour ( curd like) wnever i make dis biryani...,7
i likd p mujh pizza banea s,6
lekin ise cooker me bana nahi sakte ????,7
kabita g aap ne chicken cook nahi kiya biryani mein???,7
awesome......,3
very very nice,3
nice recipe,2
nice biryani thank u so much madem,5
"I liked your recipe, tried at home it's wonderful. thanks.",5
gullu dada bole etich ki ek plate biryaani 😁😁😁,6
yammi,2
"hello mam. 
Maine aapki ye biryani try ki Bhot tasty bani thi or  Bhot log tarif bhi kiye thank you so much 😊",1
chiken i love chiken 😋😋😋😋😋💐💐💐💐💐💖💖💖,6
Very good,3
veg m apply kiya,6
vao,6
thnxxx mam,1
chicken ache se pak jaga hai??,7
mam really nice   video.... thanks.....,5
biryani muje bi bahot pasnd hai thanku mam,1
I have made. Very tasty. While seeing the. video whole zoo is running in my stomach.,6
thanks,1
bhook lag gayee yrrr,6
good,3
i will have to try this at home....,6
very very testing,2
very very very tasty,2
Mam agar aap kevda water bhi food colour ke saath dalenge to aur mja aata hai biryani mai,6
How chicken will get cooked,7
 tysm Kabita Didi,1
u r so sweet,4
nice,3
Ok... I am waiting,6
Kima recipes batayiye plz.  mere husband ko mere haath ka khana bahot pasand hai. N mai koshish krti rhti hu k unhe kuch naya aur achha khilau.  plz help,6
Meri saasu ma bahot tasty biryani banati hai. 😁,6
ok. Zarur karna,6
Steam bahar nahi jayegi. Humlog aisa hi karte hai biryani ko dam dete waqt,6
Itna jhanjat karne se achha hai. Biryani ko dam dete waqt dhakkan ko cotton k gile kapde se dhak do.,6
its more like pot biryani where u dont fry the marinade.,6
mala tumche video khup avdtat.......ani biryani maji fevret dis aahe.....thanks mam. chan khup chan,1
i tried dis for d frst tym i follow step by step process n it was delicious ..,2
you tell with detailed explanation..:),4
mam marinated chiken ko  cooked krke use kr skte hAi,7
very nic,3
Ap to kabhi bager cheese ke pizza sikhaein,6
pls tikka biryani ki ling kaho na,6
Excellent biryani recipe and explained very beautifully.Thank you so much !!!,5
Nice,3
wastage of dough and half fried onions  .... is this is biryani ? ....lol,6
👏👏👏👏👏aunty hatts off......✋✋ salute to u,4
"can we use cooker for this ...
to avoid sealing with other material",7
ohh ok mam. thx for rply,1
nice,3
bhot acchI biryani bnai apne.mam kya hum seel pake ki jga presher Coker ka use kr sakte he.plz mam rply,7
i had tried today its really have h awsm taste thnx... kabita ji,5
beautiful you and your voice,4
kavita ji ky hm isse presure cooker p nyi banna skte,7
ye aata ka do lgana jarure h kya mam plz tell me,7
Do we need to add water to cook the Chicken,7
VERY VERY VERY GOOD,3
very taste,2
mam kya hmm pressure cooker me bana sakte he,7
great job kabita,4
nice,3
Best sooo good,3
Mam pani kyuu chodh diya biryani main,7
superb,3
Chicken chilli banane ka tareeqa batayen.please,6
"Maine bhi try kya bahot acha laga 
Thank you sister",1
very nice recipe mam,2
mam meine bhi try kiya chikan biriyani bohat testi bana aur sab ko bohat pasnd aya mere ghar me...thank you so much ..mam,5
I tried this kabita ji and it came out very well. I like all your recepies.,4
can u please clarify the timing to cook...it wasn't clear. ur medium flame looked like low flame..help,7
Hello. mam,6
"haiii kabita ji.. agar hum is Briyani recipe mey gulab Pani or mithar atar add kare, to kya  iska test kharap ho jageyga? pls ans digyaga....",7
OMG North Indian right,6
Its very easy. and i Also try for My Family...,2
very  Good recipe... If I am cooking Chicken Biryani in oven I will have to bake the chicken or broil it ?,5
very nice,3
i had a question. If i use matka instead of pan and seal it.. Matka will not blast ?? right ?,7
Kabitaji..Very nice and easy recipe..I will try it:),2
very nice,3
Thanks mam ...,1
ohkkk I must try .....thanku,1
Its amzing dear Kabita mam,3
plz plz Plz mam try to understand TO me plz plz Plz mam.,6
can you plz give us the recipe of fried rice,6
u r awesome,4
Nice recipe ma'am ...bt mein puchna chte hu ki chicken base m rhe ga to burn nhi hoga ???,5
mujhe aap ki biryani bohat pasnd aai,4
Kabita Mam... before watching the biryani video I tried making biryani multiple times but I failed.. it's the first time ever that it was perfect..... just wanted to ask you is there any way the biryani could have a little bit more of gravy in it?,7
Hi kabita ...plz tell me how much curd can use in one kg chicken biryani,7
great cook ...,4
Aroma chicken biryan,6
"Easy, step by step process is helpful.",2
mam app ta bahat sweet ho,4
I tried it 2 dayz back...and my fmly want me to cook it today also....everyone loved it....,6
Thanks,1
kabita didi u are best,4
nice,3
kabita from where are u,6
ok thnxx,1
very testy,2
how are you kabita,6
kabita you are just ossum,4
awesome,3
thank you.maam for your video ,1
"Kabita tried this chicken biryani. It was really delicious. Had made a number of biryanis before, but none came out this good as yours. Thank you for such a lovely recipe. Keep up the good work",5
really kabita mam this recipe is to good,2
hardwork ko salute mam😊,4
meine bnaya tha bahut tasty bna tha....thanks mam,5
kabita plz post chicken fried rice.. my wife tried all yr recipes n those are super tasty .. thank u so much...,5
how many quantity of oil should i use?,7
mam ek small doubt ... rice ko dum  rak ke thodi dher baad dough dry hokea steam bahar nikalti hai tho hum fir se dough ko stick karae ya chod dhe??,7
very tasty,2
nicc mem,3
Kabitaji my wife use to cook same dum biryani but cook rice seperate &chikn Seperatly but u r a chef,4
varey nice,3
sooo good,3
I don't understand Hindi but I always watch your video before start cooking Briyani,6
i am planning to make it. Your voice is also awesome...,4
"'shaahee biryani masala ' ??
I need it's details.",7
Nicely explained. step by step followed.,4
Hi Kavita ji i tried ur this recipe step by step bt there is 1 problem us coming that the steam is coming out from the pan I covered pan like u only dan y this is happening... Plz tell me plz,7
briyani mast banaya aapne.. par chikan pak jata hai kya waise.. bana ne se?,7
"I tried and it is very Delicious, thanks",5
very nice,3
NYC,3
aap. ne kon se rice use liye h?,7
superb,3
super mam,3
swaad hi aa gya.. mast bni h biryani.. thanku mam,1
kabita Thanks to you I was able to make chicken dum biryani.,1
kavita jee aap dil ki bhut saaf ho kyonki aaj kal apna hoonar koi deta hi nhi,4
it looks very tasty I will try,2
tasty mam,2
ji appka cooking institute kaha pey ji mujey address bathao na ji plz plz plz Plz...,6
Chicken was not washed properly.. I could see the blood on chicken pieces.. Unhygienic,6
nice,3
Yuumii,2
u r superb maa'm,4
kabita u make all dishes very nicely very good,4
u r good as always.,4
good,3
very very nice and delicious recipe,2
u r so sweet n yr dishes are always awesome. ...😘😘😙😙,4
i don't like mint & coriander leaf... are they mandatory?,7
Hi Untey,6
superb,3
nice,3
nice,3
thnxxx,1
Coker maih bna skhte h,7
cook,6
"very nice and useful video for preparing chicken dum biryani.i prepared it,which was awesome.. thanks for your very easy steps video",5
timing is so important ?,7
so nice dear,3
2.5 kg k leya ktna time rkna hai gass pr,7
nic,3
my God bless your hands thank you mam,1
nic,3
chicken kitne time k liye marinate kren,7
kabita ji jis ka Ghar me frieze nahi hai to kya kare WO ka kaise banayega,7
Very nyc recipy,2
ya koi bariyani hain Han,6
hii... superb explanation .. more and more video uploads.. nice god blessing you,4
"hy mam, agr 2 kg rice and 2 kg chkn ho yo kitna dair tk dam lgana ha?",7
aaaa I want to eat kabitha G,6
cant we use pressure cooker???,7
"hi mam.maine apki ye dish banai bahut hi tasty bani thi.thank you mam
hame itni acchi acchi recipie batane ke liye",5
I love biryani thnks me zaror try krngi 😊😊,1
Will the cooking time increase if I double the quantity??,7
kuch veg bhi bana liya karo,6
Thank you my lovely sistr..,1
mujhe white chiken korma ki recipie bataiye,6
very nice,3
ky shahi biryani masala dalna zaroori hai?,7
chicken sum biryani 1 kg  mai banana hai,7
".ill try it.  i need to know first all spices,,saffron just now i know",6
didi drums of heaven kaise banate hai??,6
yummmmy ye javitri kya hai??,7
mam i can add jeera to rice,7
can you please let me know how to make methi chicken ?,7
mam you are just awesome ,4
superb 👌,3
yummy,2
